Data	Expedição 0 a 4 dias	Expedição 5 dias	Expedição 6 a 14 dias	Expedição 15 dias	Expedição 16 a 29 dias	Expedição 30 dias	Expedição + 30 dias	Expedição Total	Expedição 999	MP 0 a 4 dias	MP 5 dias	MP 6 a 14 dias	MP 15 dias	MP 16 a 29 dias	MP 30 dias	MP + 30 dias	MP Total	MP 999	Separação 0 a 4 dias	Separação 5 dias	Separação 6 a 14 dias	Separação 15 dias	Separação 16 a 29 dias	Separação 30 dias	Separação + 30 dias	Separação Total	Separação 999	Recebimento  0 a 4 dias	Recebimento  5 dias	Recebimento  6 a 14 dias	Recebimento  15 dias	Recebimento  16 a 29 dias	Recebimento  30 dias	Recebimento  + 30 dias	Recebimento  Total	Recebimento  999	Arm. Estojo 0 a 4 dias	Arm. Estojo  5 dias	Arm. Estojo  6 a 14 dias	Arm. Estojo  15 dias	Arm. Estojo  16 a 29 dias	Arm. Estojo  30 dias	Arm. Estojo  + 30 dias	Arm. Estojo  Total	Arm. Estojo  999
18/07/2025	R$ 23,00	R$ 6,00	R$ 5,00	R$ 6,00	R$ 3,00	R$ 2,00	R$ 65,00	R$ 43,00	R$ 11,00	R$ 3,00	R$ 23,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 8,00	R$ 8,00	R$ 67,00	R$ 6,00	R$ 78,00	R$ 8,00	R$ 9,00	R$ 9,00	R$ 9,00	R$ 8,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 4,00	R$ 4,00	R$ 4,00	R$ 5,00	R$ 6,00	R$ 7,00
19/07/2025	R$ 4.235,00	R$ 23,00	R$ 123,00	R$ 6,00	R$ 5,00	R$ 6,00	R$ 5,00	R$ 123,00	R$ 23,00	R$ 1,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 123,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 8,00	R$ 8,00	R$ 67,00	R$ 6,00	R$ 78,00	R$ 8,00	R$ 9,00	R$ 9,00	R$ 9,00	R$ 8,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 4,00	R$ 4,00	R$ 4,00	R$ 5,00	R$ 6,00	R$ 7,00
20/07/2025	R$ 2,00	R$ 1,00	R$ 235,00	R$ 6,00	R$ 5,00	R$ 6,00	R$ 23,00	R$ 1,00	R$ 6,00	R$ 23,00	R$ 1,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 1,00	R$ 1,00	R$ 1,00	R$ 56,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 8,00	R$ 8,00	R$ 67,00	R$ 6,00	R$ 78,00	R$ 8,00	R$ 9,00	R$ 9,00	R$ 9,00	R$ 8,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 4,00	R$ 4,00	R$ 4,00	R$ 5,00	R$ 6,00	R$ 7,00
21/07/2025	R$ 342,00	R$ 6,00	R$ 34,00	R$ 23,00	R$ 2,00	R$ 13,00	R$ 1,00	R$ 7,00	R$ 1,00	R$ 1,00	R$ 1,00	R$ 1,00	R$ 1,00	R$ 11,00	R$ 2,00	R$ 1,00	R$ 11,00	R$ 23.123,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 8,00	R$ 8,00	R$ 67,00	R$ 6,00	R$ 78,00	R$ 8,00	R$ 9,00	R$ 9,00	R$ 9,00	R$ 8,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 4,00	R$ 4,00	R$ 4,00	R$ 5,00	R$ 6,00	R$ 7,00
22/07/2025	R$ 34,00	R$ 6,00	R$ 64,00	R$ 1,00	R$ 13,00	R$ 12,00	R$ 5,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 3,00	R$ 2,00	R$ 56,00	R$ 2,00	R$ 7,00	R$ 1,00	R$ 1.231,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 8,00	R$ 8,00	R$ 67,00	R$ 6,00	R$ 78,00	R$ 8,00	R$ 9,00	R$ 9,00	R$ 9,00	R$ 8,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 4,00	R$ 4,00	R$ 4,00	R$ 5,00	R$ 6,00	R$ 7,00
23/07/2025	R$ 2,00	R$ 6,00	R$ 7,00	R$ 23,00	R$ 3,00	R$ 12,00	R$ 5,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 31,00	R$ 1,00	R$ 1,00	R$ 2,00	R$ 1,00	R$ 1,00	R$ 1,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 8,00	R$ 8,00	R$ 67,00	R$ 6,00	R$ 78,00	R$ 8,00	R$ 9,00	R$ 9,00	R$ 9,00	R$ 8,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 4,00	R$ 4,00	R$ 4,00	R$ 5,00	R$ 6,00	R$ 7,00
24/07/2025	R$ 23,00	R$ 6,00	R$ 58,00	R$ 1,00	R$ 23,00	R$ 1,00	R$ 5,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 23,00	R$ 1,00	R$ 7,00	R$ 6,00	R$ 1,00	R$ 23,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 8,00	R$ 8,00	R$ 67,00	R$ 6,00	R$ 78,00	R$ 8,00	R$ 9,00	R$ 9,00	R$ 9,00	R$ 8,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 4,00	R$ 4,00	R$ 4,00	R$ 5,00	R$ 6,00	R$ 7,00
25/07/2025	R$ 5,00	R$ 6,00	R$ 123,00	R$ 1,00	R$ 1,00	R$ 23,00	R$ 1,00	R$ 2.312,00	R$ 31,00	R$ 23,00	R$ 1,00	R$ 231,00	R$ 32,00	R$ 2,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 231,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 8,00	R$ 8,00	R$ 67,00	R$ 6,00	R$ 78,00	R$ 8,00	R$ 9,00	R$ 9,00	R$ 9,00	R$ 8,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 4,00	R$ 4,00	R$ 4,00	R$ 5,00	R$ 6,00	R$ 7,00
26/07/2025	R$ 234,00	R$ 3,00	R$ 978,00	R$ 6,00	R$ 5,00	R$ 6,00	R$ 5,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 2,00	R$ 3,00	R$ 56,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 1,00	R$ 1,00	R$ 23,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 8,00	R$ 8,00	R$ 67,00	R$ 6,00	R$ 78,00	R$ 8,00	R$ 9,00	R$ 9,00	R$ 9,00	R$ 8,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 4,00	R$ 4,00	R$ 4,00	R$ 5,00	R$ 6,00	R$ 7,00
27/07/2025	R$ 23,00	R$ 6,00	R$ 8,00	R$ 1,00	R$ 5,00	R$ 6,00	R$ 5,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 3,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 1,00	R$ 6,00	R$ 7,00	R$ 231,00	R$ 6,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 8,00	R$ 8,00	R$ 67,00	R$ 6,00	R$ 78,00	R$ 8,00	R$ 9,00	R$ 9,00	R$ 9,00	R$ 8,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 4,00	R$ 4,00	R$ 4,00	R$ 5,00	R$ 6,00	R$ 7,00
28/07/2025	R$ 42,00	R$ 6,00	R$ 732,00	R$ 3,00	R$ 1,00	R$ 6,00	R$ 5,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 23,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 1,00	R$ 7,00	R$ 1,00	R$ 6,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 8,00	R$ 8,00	R$ 67,00	R$ 6,00	R$ 78,00	R$ 8,00	R$ 9,00	R$ 9,00	R$ 9,00	R$ 8,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 4,00	R$ 4,00	R$ 4,00	R$ 5,00	R$ 6,00	R$ 7,00
29/07/2025	R$ 34,00	R$ 6,00	R$ 321,00	R$ 6,00	R$ 23,00	R$ 6,00	R$ 5,00	R$ 7,00	R$ 6,00	R$ 23,00	R$ 21,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 8,00	R$ 8,00	R$ 67,00	R$ 6,00	R$ 78,00	R$ 8,00	R$ 9,00	R$ 9,00	R$ 9,00	R$ 8,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 4,00	R$ 4,00	R$ 4,00	R$ 5,00	R$ 6,00	R$ 7,00
30/07/2025	R$ 2,00	R$ 6,00	R$ 435,00	R$ 6,00	R$ 31,00	R$ 6,00	R$ 5,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 2,00	R$ 1,00	R$ 6,00	R$ 56,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 56,00	R$ 6,00	R$ 7,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 6,00	R$ 7,00	R$ 8,00	R$ 8,00	R$ 67,00	R$ 6,00	R$ 78,00	R$ 8,00	R$ 9,00	R$ 9,00	R$ 9,00	R$ 8,00	R$ 7,00	R$ 6,00	R$ 6,00	R$ 5,00	R$ 4,00	R$ 4,00	R$ 4,00	R$ 5,00	R$ 6,00	R$ 7,00
