TURNO	Data e Hora	Responsável	Doca 19	Doca 20	Doca 21	Doca 22	Doca 23	Doca 24	Doca 25	Doca 26	Agendadas 	Recebidas	Back log 	Back Log	Recebidas 	Lançadas  	Pendetes de TU	NF Pendentes 	Qualidade solicitados 	Qualidade atendidos 	Wave em separação	Wave em Pesagem	Wave na Eclusa	Waves Separadas	Wavem em fila	Itens contados	Itens Recontados	Observações
TURNO 2	07/08/2025	Edmars	0	0	0	0	0	0	0	0	3	3	0	0	3	3	0	2 com chamado aberto	8	8	0	0	2834/2837	2834/2837	0			Baixo de IBC para área externa; Organização do prédio 30 ( Retirada de chapatex dos paletes); Contagem 2 Itens, recontagem 0; Atendimentos a pesagem de ordens complementares; 
TURNO 3	07/08/2025	Vanete Assuncao	0	0	0	0	0	0	0	0	3	3	0	0	0	3	0	2 com chamado aberto	0	0	0	01/01/2833	01/01/2834	2833/2834	0			Guarda piso- 9 paletes Guarda paletes qualidade- 9 paletes Abastecimento da Eclusa- 14 paletes Tratativa Campo transitório Contagem- 5 itens  Recontagem- 1 itens Atendimento a Pesagem (pendências) Organização do prédio 30  
TURNO 1	08/08/2025	Marcior	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	3 com chamado aberto ,sendo acompanhado 	3	3	2852	0	2852	Andamento 2852	0			Fizemos 7 contagens  Guarda de devolução  Atendimento a fabricação  Carregamos dois veículos de IBCs 1 carreta com 60 oxigênio 1 carreta 40 BASF Atuamos nas posições vazias da rua 3 -4-5 check posições vazias  Atuamos campo transitórios  
TURNO 2	08/08/2025	Edmars	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	2843	2852	0	0	0			Realização de inventario na rua 03. nível 01 até a posição 03-040-01; Atendimento a pesagem; Contagem 5 itens recontagem 1; Tratativa campos transitórios; 
TURNO 3	08/08/2025	Vanete Assuncao	0	0	0	0	0	0	0	0	3	3	0	0	0	3	0	2 com chamado	0	0	0	01/01/2833	01/01/2834	2833/2834	0			Guarda piso- 9 paletes Guarda paletes qualidade- 9 paletes Abastecimento da Eclusa- 14 paletes Tratativa Campo transitório Contagem- 5 itens  Recontagem- 1 itens Atendimento a Pesagem (pendências) Organização do prédio 30 Devolução 75
TURNO 1	09/08/2025	Bruno Raimundo	0	0	0	0	0	0	0	0	3	3	1	0	18	5	12	2	0	0	2846	2843	2846	2846 - 80%	0			Tratativas de campo transitórios; Organização da eclusa; Alinhamento de divergências com equipe de pesagem; Check de posições físico x sistêmico da rua 03 - feito até posição 03-044-07
TURNO 2	09/08/2025	Edmars	0	0	0	0	0	0	0	0	3	4	0	20	19	19	1 ( Sem lançamento)	2 NF com chamados aberto	8	8	2847	2846	2846	2846	2848 / 2850			Tratativa dos campos transitórios; Inventario da rua 03 ate a posição 03-074-07; Atendimento a pesagem; 1 Veiculo extra; Contagem 1  
TURNO 3	09/08/2025	Vanete Assuncao	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2843	2843	2834/2843	0			Atendimento complementar Organização da Extensão- Área da pesagem Organização prédio 30 Devolução 71  Tratativa de campo transitório
TURNO 3	10/08/2025	Vanete Assuncao	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2 chamado aberto	0	0	0	0	0	2859	0			Atendimento a pesagem Contagem 8 itens Recontados 1 item Devolução 109 itens Organização área 30 descida de IBCS Reintegração no 2AI Tratativa campo transitório Tratativa e reintegração de itens da atividade check de posições 
TURNO 1	11/08/2025	Bruno Raimundo	0	0	0	0	0	0	0	0	2	2	2	1	5	1	1	4 - todas com tu, aguardando embalar	8	8	0	0	0	0	0	6	2	Atuação em check de posições sistêmica x físico; Tratativas de campo transitório; Organização de área;  Tratativas de RNCs;
