TURNO	Data e Hora	PNP	Detalhes PNP	Observação PNP	Mista 2	Mista 3	CCME 	Buffer	Contagem	3AB	RETRABALHO	Campos e Tarefas	Rim   	Observação Geral	Qtd.linhas
TURNO 2	05/08/2025 22:00:04	Sem PNP Creme / Hidro	N/A	N/A	Esteira e piso com baixa demanda	Esteira e piso com baixa demanda	Comparativo tratados 07   28 Pallets reintegrados   07 Saldos solicitados	Abastecido e organizado	7 itens contados Lista com 15 itens pendente de solicitação para o 3T	Expansão-  controlada Cremes- controlada Hidros- controlada	Orden 340661 - 100% abastecida	Hidros - 1 item R$ 103,80 Cremes - 3 itens R$ 12.147	Sem demanda de RIM		Hidro: 9, Cremes: 11
TURNO 3	05/08/2025 05:51:13	Sem PNP Creme / Hidro	N/A	N/A	Controlado	Controlado	Atuamos Controlado.	Controlado.	Contamos 13 itens  Deixamos 7 itens para o 1° Turno.	Atuamos controlado.	Não tivemos atuação	7517,14	Não ouve solicitação.	Dificuldade com gaiola.	Hidro: 6, Cremes: 9
TURNO 1	06/08/2025 14:03:42	Sem PNP Creme / Hidro	N/A	N/A	Controlado	Controlado	Controlado	Controlado - Hidro e Cremes	Contamos 6 itens - Aguardando a liberação de CE. Lista Pronta de 10 itens para 2º turno.	Controlado	340669 Faltando separar 70700000454879 palete na área mista2	Em Atuação	Sem Demanda	Tivemos dificuldade na disponibilidade de gaiolas.	Hidro: 9, Cremes: 12
TURNO 2	06/08/2025 22:09:55	Sem PNP Creme / Hidro	N/A	N/A	Piso e esteira com baixa demanda	Piso e esteira com baixa demanda	30 Pallets reintegra 13 Saldos solicitados	Abastecido e organizado	11 itens contados Lista com 14 itens pendente solicitar - 14 paletes	Demanda controlada, portas com baixa demanda	Ordem 340670 abastecida na C11	Sem informação	Rim Estojos - separada	Dificuldade com as gaiolas durante o turno	Hidro: 9, Cremes: 10
TURNO 3	06/08/2025 06:07:15	Sem PNP Creme / Hidro	N/A	N/A	Controlado	Controlado.	Atuamos controlado.	Controlado.	Contamos 14 itens. Deixamos 11 itens para o 1° Turno .	Controlado. 2 paletes pendente de agrupamento.	340669	8856,89	Separada.		Hidro: 8, Cremes: 9
TURNO 1	07/08/2025 14:09:59	Sem PNP Creme / Hidro	N/A	N/A	Controlado	Controlado	Controlado. Atuação nos matérias sem saldos e criação de saldos.	Controlado.	Contamos 11 itens Lista pronta de 10 itens para 2º turno.	Controlado	340672 - Aguardando o desbloqueio da qualidade, material na zona mista de HIDRO.	Em Atuação.	Sem Demanda.	Parada desde 09:00 do PIG03 para manutenção corretiva. Tivemos dificuldade na disponibilidade de gaiolas.	Hidro: 9, Cremes: 10
TURNO 2	07/08/2025 22:08:43	Sem PNP Creme / Hidro	N/A	N/A	Esteira e piso com baixa demanda	Esteira e piso com baixa demanda	44 Pallets reintegra. ✅ 03 Saldos solicitados✅ Inventário 70700000469452 Físico/Sistemico ✅ Reintegrado.  Obs: Todos os itens que recebi no turno sem saldo foram planilhados ✅	Abastecido e organizado	1 item contado - Oportunidade na lista deixada pelo 1T (itens ja contados)	Expansão-Cremes-Hidros: demanda controlada	340662 - Abastecimento iniciado (1/5 paletes no abastecido) ✅ 340641 - Em abastecimento na H1 ✅ 340672 - Abastecido na H1✅ 340664 - Abastecida na H1✅	Sem informação	Sem demanda		Hidro: 9, Cremes: 10
TURNO 3	07/08/2025 06:11:14	Sem PNP Creme / Hidro	N/A	N/A	Controlada.	Controlada.	Atuamos controlado.	Controlado.	13 itens . Lista com 10 itens para o 1° turno .	Controlado.	340662 - Abastecido .	22795,19			Hidro: 8, Cremes: 10
TURNO 1	08/08/2025 14:11:39	Sem PNP Creme / Hidro	N/A	N/A	Controlada	10 paletes para agrupamento da lista do CE. 02 Paletes de CCME divergentes, retornar para o industrial.	Paletes para serem conferidos e armazenados.	Controlado.	Contamos 10 itens. Lista Pronta para 2º turno de 10 Itens.	Atuamos e Controlado. Oportunidade apenas na área da expansão.	Sem Demanda.	Em Atuação	Sem Demanda.	Tivemos dificuldade na disponibilidade de gaiolas. Maquina 07 se encontra na sala de bateria em manutenção. Realizamos a relocação da base de Hidro. Tivemos a limpeza das esteiras da Schaffer com ar comprimido. Tivemos a paletização parada pela manhã.	Hidro: 9, Cremes: 11
TURNO 2	08/08/2025 22:12:12	Sem PNP Creme / Hidro	N/A	N/A	Controlado	Controlado	Piso sem pendências Criação de saldos: 03 paletes pendente	Abastecido / controlado	02 itens contados ( lista com 10 itens de PA com itens já contados.  Sem lista para 3 turno	As 3 portas com baixa demanda	340663 pendente abastecimento.	Sem informação	Sem demanda		Hidro: 8, Cremes: 10
TURNO 3	08/08/2025 06:50:24	Sem PNP Creme / Hidro	N/A	N/A	Controlado.	Controlado.	Atuamos controlado.	Abastecido .	Contamos 14 itens. Lista com 10 itens para o 1 ° Turno.	Controlado. 3 paletes pendente de agrupamento.	340663 Abastecido .	24639,9			Hidro: 7, Cremes: 9
TURNO 1	09/08/2025 13:51:01	Sem PNP Creme / Hidro	N/A	N/A	Controlável	Controlável	Atuando nas fabrica	Abastecidos	7 itens contado  uma lista em descida	Controlável	HIDRO 340662 E 340563 faltando abastecer	Atuando  campo transitório e tarefas pendentes	Sem solicitação		Hidro: 8, Cremes: 10
TURNO 2	09/08/2025 21:54:19	Sem PNP Creme / Hidro	N/A	N/A	Controlado. Baixa demanda	Controlado. Piso com material separado	36 paletes reintegrados / armazenados	Abastecido	10 itens ME contados, 1 ME com divergencia para ajuste e armazenagem 28 itens de ME para o 3T e 1T solicitar e contar	Controlado para as 3 portas.	340665 - Em descida 340666 - Em descida	Sem informações	Sem demanda		Hidro: 8, Cremes: 10
TURNO 1	10/08/2025 13:55:06	Sem PNP Creme / Hidro	N/A	N/A	Controlável	Controlável	Atuando	Controlável	Aguardando liberação dos itens contados	Controlável	340662 , 340666, 340665,	Atuando 0<5	1 RIM para H4 sem dar baixar C/C INVALIDO material no piso		Hidro: 8, Cremes: 10
